timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
030303031,3,F1,,0.0,,11.071305,,,,,,,,,,,,,,,
2025-12-08T16:22:10.938561+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:10.938729+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:10.938797+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.938857+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:10.938991+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:10.939048+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:10.939101+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17422.645977,,,119,0,0,400
2025-12-08T16:22:11.146086+00:00,gnb:131-133-31000000,unknown,2,F1,,11.789204,,,,,,,,,,,,,,,
2025-12-08T16:22:11.146346+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:11.146421+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.578408,,,,,,,,
2025-12-08T16:22:11.148970+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:11.149058+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.149122+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.149276+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:11.149338+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17372.437494,,,119,0,0,400
2025-12-08T16:22:11.149396+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:11.355399+00:00,gnb:131-133-31000000,unknown,2,F1,,11.793039,,,,,,,,,,,,,,,
2025-12-08T16:22:11.355498+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.586078,,,,,,,,
2025-12-08T16:22:11.355561+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:11.355722+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:11.355787+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.355844+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.355977+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:11.356035+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17323.945383,,,119,0,0,400
2025-12-08T16:22:11.356090+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:11.572249+00:00,gnb:131-133-31000000,unknown,2,F1,,11.795712,,,,,,,,,,,,,,,
2025-12-08T16:22:11.572357+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.591424,,,,,,,,
2025-12-08T16:22:11.572421+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:11.779067+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:11.779173+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.779241+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.779492+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:11.779558+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:11.779618+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17277.083114,,,119,0,0,400
2025-12-08T16:22:11.985771+00:00,gnb:131-133-31000000,unknown,2,F1,,11.788084,,,,,,,,,,,,,,,
2025-12-08T16:22:11.985904+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.576167,,,,,,,,
2025-12-08T16:22:11.986066+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:11.987859+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:11.987950+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.988014+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:11.988168+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:11.988228+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
